transaction_id,timestamp,customer_id,employee_id,total_amount,payment_method
50,2025-01-01 13:33:22,146,5,41000,QRIS
51,2025-01-01 15:53:50,106,9,34000,Debit Card
52,2025-01-01 21:25:58,177,11,65000,E-Wallet
53,2025-01-01 09:12:38,332,1,132000,Debit Card
54,2025-01-01 18:47:14,494,7,45000,QRIS
55,2025-01-01 17:20:05,306,5,87000,E-Wallet
56,2025-01-01 08:14:10,329,4,39000,Debit Card
57,2025-01-01 10:48:59,461,1,63000,QRIS
58,2025-01-01 13:46:15,84,11,93000,Credit Card
59,2025-01-01 16:48:04,289,7,99000,E-Wallet
60,2025-01-01 15:25:59,281,12,25000,E-Wallet
61,2025-01-01 07:53:44,101,12,91000,E-Wallet
62,2025-01-01 17:15:27,116,5,81000,Cash
63,2025-01-01 10:41:38,353,9,24000,E-Wallet
64,2025-01-01 17:34:55,269,4,22000,Debit Card
65,2025-01-01 12:21:02,462,5,27000,Credit Card
66,2025-01-01 10:05:21,202,11,85000,Cash
67,2025-01-01 09:17:46,200,12,78000,Debit Card
68,2025-01-01 08:59:18,365,8,68000,Cash
69,2025-01-01 10:18:55,469,15,130000,E-Wallet
70,2025-01-01 07:44:15,411,1,24000,E-Wallet
71,2025-01-01 08:00:19,121,9,76000,QRIS
72,2025-01-01 19:36:09,410,11,75000,Credit Card
73,2025-01-01 11:04:45,335,13,62000,QRIS
74,2025-01-01 10:02:40,302,15,74000,Credit Card
75,2025-01-01 15:17:57,279,11,132000,E-Wallet
76,2025-01-01 13:40:16,180,1,30000,Credit Card
77,2025-01-01 16:24:10,380,1,85000,Debit Card
78,2025-01-01 15:22:00,121,9,86000,QRIS
79,2025-01-01 18:30:22,248,4,74000,Debit Card
80,2025-01-01 21:42:00,294,4,35000,QRIS
81,2025-01-01 20:56:59,458,5,97000,QRIS
82,2025-01-01 14:05:11,124,11,72000,Credit Card
83,2025-01-01 08:03:15,472,12,87000,QRIS
84,2025-01-01 11:49:55,157,5,113000,Debit Card
85,2025-01-01 18:31:15,144,13,109000,QRIS
86,2025-01-01 11:16:20,229,12,32000,QRIS
87,2025-01-01 08:44:19,209,11,72000,E-Wallet
88,2025-01-01 18:08:44,226,1,59000,Debit Card
89,2025-01-01 18:36:10,99,11,83000,Credit Card
90,2025-01-01 16:11:15,330,4,73000,QRIS
91,2025-01-01 17:51:05,235,8,80000,Credit Card
92,2025-01-01 12:57:22,104,4,24000,QRIS
93,2025-01-01 17:09:39,165,13,125000,QRIS
94,2025-01-01 12:11:37,390,9,115000,Debit Card
95,2025-01-01 16:13:47,58,9,140000,Cash
96,2025-01-01 07:22:21,425,11,25000,Debit Card
97,2025-01-01 15:08:49,467,12,120000,Debit Card
98,2025-01-01 20:31:41,414,5,112000,QRIS
99,2025-01-01 07:07:24,121,5,19000,E-Wallet
100,2025-01-01 10:50:47,75,4,39000,Debit Card
101,2025-01-01 09:15:54,271,8,117000,Cash
102,2025-01-01 07:13:33,137,9,117000,E-Wallet
103,2025-01-01 19:20:29,77,9,84000,Credit Card
104,2025-01-01 16:46:38,303,4,78000,Credit Card
105,2025-01-01 16:36:32,408,15,59000,Credit Card
106,2025-01-01 16:39:32,262,12,94000,Credit Card
107,2025-01-01 20:19:32,107,13,66000,Debit Card
108,2025-01-01 18:37:18,351,4,69000,E-Wallet
109,2025-01-01 08:43:38,225,4,117000,Cash
110,2025-01-02 12:56:56,382,3,106000,QRIS
111,2025-01-02 12:05:50,486,3,78000,Cash
112,2025-01-02 18:00:10,410,6,66000,Debit Card
113,2025-01-02 16:41:08,412,6,126000,Cash
114,2025-01-02 07:08:02,320,13,19000,Cash
115,2025-01-02 12:58:42,7,11,95000,E-Wallet
116,2025-01-02 13:26:12,374,1,96000,QRIS
117,2025-01-02 16:40:34,288,12,56000,Cash
118,2025-01-02 15:40:49,271,4,68000,Credit Card
119,2025-01-02 09:38:35,133,12,140000,Debit Card
120,2025-01-02 16:17:02,125,3,94000,QRIS
121,2025-01-02 16:18:48,251,12,131000,E-Wallet
122,2025-01-02 11:22:20,80,3,88000,Debit Card
123,2025-01-02 10:59:56,343,3,69000,Debit Card
124,2025-01-02 11:15:39,12,7,101000,Cash
125,2025-01-02 16:40:44,9,3,108000,Cash
126,2025-01-02 16:56:35,425,4,25000,Cash
127,2025-01-02 10:04:41,7,13,96000,QRIS
128,2025-01-02 09:24:37,421,11,91000,E-Wallet
129,2025-01-02 15:04:18,318,5,53000,QRIS
130,2025-01-02 17:07:45,420,4,56000,Credit Card
131,2025-01-02 09:42:22,325,11,83000,E-Wallet
132,2025-01-02 11:35:24,268,6,76000,Credit Card
133,2025-01-02 17:46:45,438,12,53000,E-Wallet
134,2025-01-02 09:41:37,380,1,30000,Cash
135,2025-01-02 08:04:20,1,5,121000,QRIS
136,2025-01-02 08:13:26,18,6,89000,Debit Card
137,2025-01-02 12:05:10,142,4,86000,E-Wallet
138,2025-01-02 10:21:11,11,1,43000,E-Wallet
139,2025-01-02 08:43:06,394,6,39000,Cash
140,2025-01-02 13:30:45,138,7,22000,Cash
141,2025-01-02 17:30:20,460,3,66000,Debit Card
142,2025-01-02 12:55:15,116,4,30000,Debit Card
143,2025-01-02 10:27:49,202,6,27000,Cash
144,2025-01-02 19:22:46,433,11,35000,Cash
145,2025-01-02 17:05:53,117,6,70000,Debit Card
146,2025-01-02 13:56:24,368,13,58000,Credit Card
147,2025-01-02 09:19:11,204,7,51000,Debit Card
148,2025-01-02 16:28:50,276,12,121000,Cash
149,2025-01-02 19:22:12,156,12,43000,QRIS
150,2025-01-02 21:47:59,143,1,49000,QRIS
151,2025-01-02 19:29:19,293,4,105000,E-Wallet
152,2025-01-02 09:16:33,83,4,86000,QRIS
153,2025-01-02 10:58:44,76,6,155000,Cash
154,2025-01-02 08:44:12,195,5,56000,Cash
155,2025-01-02 15:01:54,415,7,138000,QRIS
156,2025-01-02 20:04:15,7,7,34000,QRIS
157,2025-01-02 19:37:50,300,12,88000,QRIS
158,2025-01-02 09:09:29,409,12,109000,E-Wallet
159,2025-01-02 08:16:07,214,12,27000,Credit Card
160,2025-01-02 08:53:31,400,13,23000,Debit Card
161,2025-01-02 11:50:19,102,6,79000,Credit Card
162,2025-01-02 10:54:39,100,1,80000,Debit Card
163,2025-01-02 15:20:53,158,12,78000,Debit Card
164,2025-01-02 13:22:41,177,11,67000,QRIS
165,2025-01-02 11:16:40,324,3,71000,Credit Card
166,2025-01-02 08:35:25,215,11,106000,Credit Card
167,2025-01-02 19:47:34,46,6,122000,E-Wallet
168,2025-01-02 13:03:06,100,6,133000,Cash
169,2025-01-02 10:54:41,131,12,68000,QRIS
170,2025-01-02 11:33:22,31,7,73000,Debit Card
171,2025-01-02 13:47:41,472,6,61000,Cash
172,2025-01-02 15:45:47,293,6,59000,E-Wallet
173,2025-01-02 19:40:37,43,3,37000,Debit Card
174,2025-01-02 19:22:53,60,12,27000,E-Wallet
175,2025-01-02 19:40:33,279,1,104000,E-Wallet
176,2025-01-02 13:58:07,233,11,96000,Credit Card
177,2025-01-02 13:46:32,289,11,110000,Debit Card
178,2025-01-02 17:28:00,487,4,104000,Credit Card
179,2025-01-02 09:03:45,41,13,54000,QRIS
180,2025-01-02 10:47:03,201,3,95000,QRIS
181,2025-01-02 10:56:21,391,1,67000,Debit Card
182,2025-01-02 20:42:52,104,12,68000,QRIS
183,2025-01-02 18:29:38,151,7,102000,Credit Card
184,2025-01-02 13:15:32,46,7,27000,E-Wallet
185,2025-01-02 13:23:04,59,4,86000,QRIS
186,2025-01-02 15:08:02,46,5,113000,Cash
187,2025-01-02 16:10:28,373,12,77000,E-Wallet
188,2025-01-02 20:59:15,210,4,30000,E-Wallet
189,2025-01-02 12:49:54,86,5,110000,E-Wallet
190,2025-01-02 13:26:08,123,5,76000,Cash
191,2025-01-02 13:27:47,77,7,52000,QRIS
192,2025-01-02 15:09:13,125,4,122000,Cash
193,2025-01-02 09:55:14,313,11,66000,Credit Card
194,2025-01-02 14:55:20,453,5,55000,Credit Card
195,2025-01-02 18:38:45,495,3,58000,E-Wallet
196,2025-01-02 11:19:42,229,3,34000,QRIS
197,2025-01-02 15:26:14,29,11,71000,Credit Card
198,2025-01-02 14:50:17,434,3,52000,Cash
199,2025-01-02 09:36:24,149,11,27000,Credit Card
200,2025-01-02 08:48:01,59,12,99000,E-Wallet
201,2025-01-02 15:18:10,96,3,34000,Credit Card
202,2025-01-02 17:48:28,95,1,73000,QRIS
203,2025-01-02 07:01:21,431,6,32000,E-Wallet
204,2025-01-02 10:37:08,2,11,25000,QRIS
205,2025-01-02 18:10:54,62,13,125000,Credit Card
206,2025-01-02 09:42:20,267,12,121000,QRIS
207,2025-01-02 18:14:26,110,5,42000,E-Wallet
208,2025-01-02 11:31:49,49,4,20000,E-Wallet
209,2025-01-02 07:47:57,240,6,80000,E-Wallet
210,2025-01-02 08:07:35,393,11,59000,Debit Card
211,2025-01-02 14:05:14,128,5,97000,Cash
212,2025-01-02 14:45:17,219,13,81000,QRIS
213,2025-01-02 15:44:22,81,1,62000,QRIS
214,2025-01-02 08:19:10,254,5,65000,E-Wallet
215,2025-01-02 08:01:23,6,5,45000,E-Wallet
216,2025-01-02 15:55:54,409,7,72000,E-Wallet
217,2025-01-02 13:20:42,113,13,29000,Credit Card
218,2025-01-02 08:17:13,311,7,74000,Debit Card
219,2025-01-02 19:35:33,202,1,57000,Credit Card
220,2025-01-02 18:00:18,122,13,47000,Cash
221,2025-01-02 10:41:48,359,1,35000,E-Wallet
222,2025-01-02 10:25:42,34,5,98000,Debit Card
223,2025-01-02 10:36:55,369,4,39000,QRIS
224,2025-01-02 08:08:22,194,4,124000,E-Wallet
225,2025-01-02 08:33:51,360,4,22000,Credit Card
226,2025-01-02 11:54:48,441,13,66000,Cash
227,2025-01-02 21:42:32,249,7,52000,E-Wallet
228,2025-01-02 17:47:47,491,7,145000,Cash
229,2025-01-03 12:23:36,398,10,81000,Cash
230,2025-01-03 08:12:14,180,10,50000,Cash
231,2025-01-03 18:15:46,168,11,103000,Cash
232,2025-01-03 17:31:39,264,1,41000,Cash
233,2025-01-03 07:39:51,237,3,98000,QRIS
234,2025-01-03 08:13:40,433,4,144000,Cash
235,2025-01-03 09:48:07,352,4,71000,Debit Card
236,2025-01-03 12:40:36,49,14,51000,E-Wallet
237,2025-01-03 10:38:21,102,11,25000,Credit Card
238,2025-01-03 11:24:41,66,10,22000,Cash
239,2025-01-03 07:44:24,298,1,125000,QRIS
240,2025-01-03 12:36:09,50,14,106000,Credit Card
241,2025-01-03 13:43:45,290,3,104000,Cash
242,2025-01-03 10:55:44,185,11,33000,Debit Card
243,2025-01-03 18:29:03,364,1,91000,QRIS
244,2025-01-03 19:26:04,272,3,120000,Debit Card
245,2025-01-03 21:56:50,62,4,21000,QRIS
246,2025-01-03 15:40:04,47,14,63000,Debit Card
247,2025-01-03 09:33:10,397,4,53000,E-Wallet
248,2025-01-03 08:41:07,420,14,52000,Debit Card
249,2025-01-03 19:12:59,24,11,85000,Credit Card
250,2025-01-03 08:30:45,238,14,57000,Cash
251,2025-01-03 11:28:10,357,3,68000,E-Wallet
252,2025-01-03 10:56:03,275,6,62000,E-Wallet
253,2025-01-03 12:51:36,64,10,40000,QRIS
254,2025-01-03 13:27:51,489,1,47000,QRIS
255,2025-01-03 08:24:59,412,6,34000,QRIS
256,2025-01-03 18:53:13,15,4,140000,QRIS
257,2025-01-03 07:44:55,105,14,90000,Debit Card
258,2025-01-03 12:13:05,499,3,66000,E-Wallet
259,2025-01-03 20:56:27,127,10,86000,Cash
260,2025-01-03 10:27:41,325,4,78000,QRIS
261,2025-01-03 18:47:44,42,6,26000,E-Wallet
262,2025-01-03 10:50:10,61,14,27000,Credit Card
263,2025-01-03 09:10:42,15,14,43000,E-Wallet
264,2025-01-03 08:06:18,98,4,101000,Cash
265,2025-01-03 09:08:53,118,3,61000,Debit Card
266,2025-01-03 10:37:54,27,1,30000,QRIS
267,2025-01-03 18:23:08,78,4,22000,E-Wallet
268,2025-01-03 21:29:53,477,14,67000,QRIS
269,2025-01-03 15:54:55,12,4,97000,E-Wallet
270,2025-01-03 11:55:52,180,6,59000,QRIS
271,2025-01-03 17:13:41,294,6,101000,QRIS
272,2025-01-03 15:36:10,304,6,27000,Credit Card
273,2025-01-03 09:29:31,339,4,78000,Cash
274,2025-01-03 08:54:11,436,14,49000,E-Wallet
275,2025-01-03 07:28:18,450,4,113000,Cash
276,2025-01-03 11:05:22,44,1,55000,Credit Card
277,2025-01-03 17:20:08,450,3,25000,Credit Card
278,2025-01-03 14:39:01,440,6,54000,E-Wallet
279,2025-01-03 08:49:46,83,3,107000,Cash
280,2025-01-03 12:24:55,261,10,35000,E-Wallet
281,2025-01-03 16:08:50,240,1,55000,Cash
282,2025-01-03 08:37:54,20,11,27000,Debit Card
283,2025-01-03 10:01:28,238,11,63000,Cash
284,2025-01-03 08:14:43,383,6,82000,E-Wallet
285,2025-01-03 14:11:25,206,1,32000,Cash
286,2025-01-03 14:15:16,35,6,133000,Debit Card
287,2025-01-03 18:15:43,92,1,50000,QRIS
288,2025-01-03 19:31:27,97,3,52000,QRIS
289,2025-01-03 16:40:53,91,11,110000,E-Wallet
290,2025-01-03 19:42:08,287,4,20000,Debit Card
291,2025-01-03 11:20:02,177,10,78000,Debit Card
292,2025-01-03 10:59:05,85,4,105000,Credit Card
293,2025-01-03 10:44:18,455,10,26000,Credit Card
294,2025-01-03 09:08:47,498,4,34000,Cash
295,2025-01-03 14:54:07,181,11,102000,Credit Card
296,2025-01-03 16:54:04,171,6,100000,QRIS
297,2025-01-03 11:53:57,368,1,68000,QRIS
298,2025-01-03 21:58:46,233,1,90000,Cash
299,2025-01-03 12:09:46,78,6,87000,Credit Card
300,2025-01-03 14:39:21,181,6,20000,Debit Card
301,2025-01-03 13:43:05,324,11,66000,Debit Card
302,2025-01-03 13:03:46,48,10,83000,Debit Card
303,2025-01-03 16:48:36,23,6,39000,E-Wallet
304,2025-01-03 10:46:02,286,14,35000,Cash
305,2025-01-03 08:48:36,459,14,64000,E-Wallet
306,2025-01-03 08:59:03,212,10,79000,Debit Card
307,2025-01-03 09:04:54,405,3,30000,Cash
308,2025-01-03 19:08:59,261,6,91000,QRIS
309,2025-01-03 17:03:03,326,3,112000,Credit Card
310,2025-01-03 11:17:51,200,14,106000,Credit Card
311,2025-01-03 19:15:25,34,14,88000,QRIS
312,2025-01-03 16:43:58,117,4,26000,Cash
313,2025-01-03 12:17:44,78,10,78000,Cash
314,2025-01-03 09:16:21,322,6,81000,Debit Card
315,2025-01-03 08:01:34,282,1,60000,QRIS
316,2025-01-03 12:18:00,183,10,74000,E-Wallet
317,2025-01-03 15:05:38,264,3,76000,Debit Card
318,2025-01-03 17:24:26,176,14,29000,E-Wallet
319,2025-01-03 20:48:28,315,1,65000,Credit Card
320,2025-01-03 09:49:36,2,14,109000,Debit Card
321,2025-01-03 08:57:43,399,11,38000,Cash
322,2025-01-03 13:08:04,372,14,114000,QRIS
323,2025-01-03 08:59:14,407,3,41000,E-Wallet
324,2025-01-03 16:43:22,236,10,69000,Debit Card
325,2025-01-03 19:37:08,407,14,119000,Cash
326,2025-01-03 12:45:57,481,1,68000,Cash
327,2025-01-03 08:30:30,244,11,93000,QRIS
328,2025-01-03 19:13:31,452,6,108000,Cash
329,2025-01-03 12:51:13,8,1,134000,QRIS
330,2025-01-03 08:45:13,227,14,92000,QRIS
331,2025-01-03 11:43:13,384,1,109000,QRIS
332,2025-01-03 12:26:59,320,11,114000,Cash
333,2025-01-03 10:43:56,292,4,57000,Debit Card
334,2025-01-03 16:54:34,89,14,107000,QRIS
335,2025-01-03 12:50:54,398,6,120000,Cash
336,2025-01-03 08:33:04,315,1,93000,Cash
337,2025-01-03 20:05:19,436,4,64000,Credit Card
338,2025-01-03 11:32:00,173,11,33000,Cash
339,2025-01-03 09:14:53,170,4,26000,Cash
340,2025-01-03 19:47:56,495,6,26000,E-Wallet
341,2025-01-03 13:50:04,105,4,115000,QRIS
342,2025-01-03 17:57:00,87,6,90000,Debit Card
343,2025-01-03 18:57:51,327,14,106000,Debit Card
344,2025-01-03 12:04:29,272,14,75000,E-Wallet
345,2025-01-03 18:45:39,12,6,24000,E-Wallet
346,2025-01-03 19:13:33,162,11,41000,Debit Card
347,2025-01-03 15:54:48,42,14,144000,Credit Card
348,2025-01-03 07:18:07,403,6,61000,E-Wallet
349,2025-01-04 17:29:26,362,1,80000,E-Wallet
350,2025-01-04 09:41:43,43,7,52000,Cash
351,2025-01-04 13:18:46,428,4,118000,E-Wallet
352,2025-01-04 12:36:52,95,7,100000,QRIS
353,2025-01-04 20:32:48,149,13,19000,Debit Card
354,2025-01-04 07:58:38,75,13,35000,Cash
355,2025-01-04 13:45:37,194,14,35000,QRIS
356,2025-01-04 09:05:11,146,13,44000,E-Wallet
357,2025-01-04 20:54:52,422,13,64000,QRIS
358,2025-01-04 16:10:13,74,4,124000,Debit Card
359,2025-01-04 09:45:04,444,1,24000,QRIS
360,2025-01-04 16:43:17,159,9,93000,Credit Card
361,2025-01-04 11:33:39,265,10,145000,E-Wallet
362,2025-01-04 09:29:43,23,7,22000,Debit Card
363,2025-01-04 19:38:00,487,3,81000,Cash
364,2025-01-04 18:58:57,352,1,27000,Cash
365,2025-01-04 19:43:55,309,7,72000,E-Wallet
366,2025-01-04 12:42:51,444,3,118000,Cash
367,2025-01-04 10:53:16,70,5,107000,Credit Card
368,2025-01-04 16:56:59,259,4,105000,E-Wallet
369,2025-01-04 07:45:09,191,3,48000,QRIS
370,2025-01-04 09:23:34,144,9,117000,E-Wallet
371,2025-01-04 19:22:38,11,6,76000,Credit Card
372,2025-01-04 19:29:02,472,6,123000,E-Wallet
373,2025-01-04 16:56:00,123,15,73000,Cash
374,2025-01-04 09:58:50,481,4,72000,Credit Card
375,2025-01-04 17:08:58,12,13,123000,Debit Card
376,2025-01-04 13:17:20,346,12,80000,Cash
377,2025-01-04 11:58:38,201,6,20000,E-Wallet
378,2025-01-04 18:59:31,365,4,67000,E-Wallet
379,2025-01-04 08:43:18,239,10,75000,QRIS
380,2025-01-04 15:41:28,441,7,113000,E-Wallet
381,2025-01-04 08:33:09,176,4,97000,QRIS
382,2025-01-04 13:29:32,450,7,93000,QRIS
383,2025-01-04 17:30:04,422,12,51000,E-Wallet
384,2025-01-04 08:51:00,279,5,52000,QRIS
385,2025-01-04 08:59:12,46,13,56000,E-Wallet
386,2025-01-04 07:13:07,219,7,37000,Debit Card
387,2025-01-04 12:47:10,372,1,34000,Debit Card
388,2025-01-04 07:23:08,89,14,106000,Credit Card
389,2025-01-04 19:28:13,169,8,89000,E-Wallet
390,2025-01-04 11:12:33,413,9,39000,QRIS
391,2025-01-04 19:41:54,370,12,48000,Credit Card
392,2025-01-04 08:29:02,257,5,60000,Debit Card
393,2025-01-04 14:25:06,202,15,138000,E-Wallet
394,2025-01-04 12:47:28,424,5,54000,Debit Card
395,2025-01-04 11:31:55,315,13,34000,Debit Card
396,2025-01-04 12:48:25,402,8,80000,E-Wallet
397,2025-01-04 09:25:05,264,7,55000,QRIS
398,2025-01-04 07:49:47,11,6,104000,E-Wallet
399,2025-01-04 14:04:29,32,7,114000,Debit Card
400,2025-01-04 17:52:04,200,3,31000,E-Wallet
401,2025-01-04 19:04:01,184,5,124000,E-Wallet
402,2025-01-04 12:07:15,4,12,63000,E-Wallet
403,2025-01-04 08:44:12,421,7,20000,Credit Card
404,2025-01-04 07:16:27,316,7,22000,E-Wallet
405,2025-01-04 09:45:38,466,8,33000,QRIS
406,2025-01-04 13:37:55,181,3,64000,E-Wallet
407,2025-01-04 08:32:46,117,10,104000,QRIS
408,2025-01-04 15:35:45,208,10,110000,E-Wallet
409,2025-01-04 13:46:35,131,13,15000,QRIS
410,2025-01-04 16:04:01,275,4,92000,QRIS
411,2025-01-04 12:40:18,57,12,22000,E-Wallet
412,2025-01-04 08:52:53,116,3,115000,E-Wallet
413,2025-01-04 19:51:58,331,12,53000,Cash
414,2025-01-04 07:06:29,273,9,92000,Credit Card
415,2025-01-04 18:02:36,9,3,80000,E-Wallet
416,2025-01-04 21:03:38,352,7,70000,Debit Card
417,2025-01-04 19:34:26,156,6,65000,E-Wallet
418,2025-01-04 08:52:34,433,9,99000,QRIS
419,2025-01-04 16:50:30,181,15,127000,QRIS
420,2025-01-04 20:48:15,42,6,101000,E-Wallet
421,2025-01-04 19:30:41,192,10,43000,E-Wallet
422,2025-01-04 12:45:39,352,14,29000,Debit Card
423,2025-01-04 16:51:57,56,1,132000,E-Wallet
424,2025-01-04 08:43:08,351,7,27000,Debit Card
425,2025-01-04 16:47:15,142,12,22000,Cash
426,2025-01-04 18:28:23,273,1,64000,Cash
427,2025-01-04 08:18:52,490,13,51000,E-Wallet
428,2025-01-04 09:50:11,486,14,82000,QRIS
429,2025-01-04 16:03:48,462,1,99000,QRIS
430,2025-01-04 12:22:11,36,6,47000,QRIS
431,2025-01-04 16:50:19,353,14,73000,Credit Card
432,2025-01-04 17:39:24,19,6,27000,Credit Card
433,2025-01-04 14:23:34,307,1,94000,Cash
434,2025-01-04 11:13:50,500,8,62000,Cash
435,2025-01-04 09:22:17,63,1,85000,E-Wallet
436,2025-01-04 07:12:38,69,9,68000,Debit Card
437,2025-01-04 09:22:35,226,13,67000,Cash
438,2025-01-04 11:16:14,258,15,60000,QRIS
439,2025-01-04 19:45:16,148,15,27000,Cash
440,2025-01-04 16:59:14,15,5,51000,Cash
441,2025-01-04 15:58:52,81,8,32000,E-Wallet
442,2025-01-04 16:55:15,446,14,78000,Cash
443,2025-01-04 09:02:42,317,14,99000,Credit Card
444,2025-01-04 14:49:07,224,1,59000,Credit Card
445,2025-01-04 08:49:56,180,12,93000,Debit Card
446,2025-01-04 08:48:34,246,13,123000,Credit Card
447,2025-01-04 07:39:51,107,8,97000,E-Wallet
448,2025-01-04 12:24:54,477,1,26000,Debit Card
449,2025-01-04 09:59:46,364,4,141000,E-Wallet
450,2025-01-04 09:15:03,278,15,101000,Credit Card
451,2025-01-04 19:06:25,401,10,103000,E-Wallet
452,2025-01-04 08:55:53,314,1,112000,Debit Card
453,2025-01-04 19:37:32,373,3,101000,Cash
454,2025-01-04 18:11:38,353,6,59000,Cash
455,2025-01-04 09:47:30,101,1,31000,Debit Card
456,2025-01-04 09:27:03,199,14,113000,Credit Card
457,2025-01-04 18:47:42,151,13,79000,E-Wallet
458,2025-01-04 12:35:59,325,12,98000,QRIS
459,2025-01-04 18:29:14,148,12,23000,QRIS
460,2025-01-04 11:58:11,136,8,34000,E-Wallet
461,2025-01-04 16:00:18,126,12,27000,Debit Card
462,2025-01-04 15:34:28,172,15,115000,Credit Card
463,2025-01-04 11:29:00,41,9,93000,Credit Card
464,2025-01-04 19:43:07,492,1,91000,Cash
465,2025-01-04 08:46:33,106,14,71000,Cash
466,2025-01-04 12:42:16,406,1,58000,Debit Card
467,2025-01-04 12:24:36,471,10,100000,Credit Card
468,2025-01-04 12:56:38,19,15,78000,E-Wallet
469,2025-01-04 18:28:09,358,12,60000,E-Wallet
470,2025-01-04 19:24:36,337,15,27000,Credit Card
471,2025-01-04 20:51:44,120,1,57000,Debit Card
472,2025-01-04 18:01:22,464,12,100000,Cash
473,2025-01-04 12:13:35,250,7,115000,Cash
474,2025-01-04 10:29:43,453,13,45000,QRIS
475,2025-01-04 09:17:11,34,9,95000,Cash
476,2025-01-04 08:58:38,91,15,111000,E-Wallet
477,2025-01-04 19:48:07,486,7,67000,Debit Card
478,2025-01-04 08:07:14,497,1,15000,Cash
479,2025-01-04 18:56:18,37,8,43000,E-Wallet
480,2025-01-04 15:14:26,144,6,49000,E-Wallet
481,2025-01-04 14:13:39,281,4,100000,QRIS
482,2025-01-04 12:24:05,108,9,27000,Cash
483,2025-01-04 12:54:09,431,14,28000,E-Wallet
484,2025-01-04 11:48:05,88,6,93000,E-Wallet
485,2025-01-04 13:32:41,288,10,108000,E-Wallet
486,2025-01-04 08:31:19,325,9,93000,Credit Card
487,2025-01-04 19:01:45,279,10,57000,E-Wallet
488,2025-01-04 21:50:04,286,6,28000,Debit Card
489,2025-01-04 11:52:17,338,13,90000,Credit Card
490,2025-01-04 14:59:25,183,7,43000,Cash
491,2025-01-04 18:18:06,77,1,86000,E-Wallet
492,2025-01-04 19:37:40,210,1,69000,QRIS
493,2025-01-04 07:35:27,272,3,41000,QRIS
494,2025-01-04 14:01:14,163,15,65000,Cash
495,2025-01-04 12:30:31,486,3,27000,Cash
496,2025-01-04 11:56:35,190,5,31000,QRIS
497,2025-01-04 11:17:32,329,15,34000,Debit Card
498,2025-01-04 15:26:56,37,15,43000,Cash
499,2025-01-04 08:04:16,409,12,91000,E-Wallet
500,2025-01-04 17:21:12,357,9,20000,QRIS
501,2025-01-04 08:29:58,200,4,54000,Cash
502,2025-01-04 18:03:23,202,6,110000,Debit Card
503,2025-01-04 07:05:51,253,9,72000,QRIS
504,2025-01-04 19:22:35,19,1,100000,Cash
